mortar,round,guidance,range_m,max_range_m,crew,secondary_skill,effective_skill,fire_delay_s,flight_time_s,profile,perception,shot_index,total_range_m,total_deflection_m,shot_lost_pct,feedback_accuracy_multiplier,feedback_location_multiplier
M224 60mm,M720A1 60mm HE,unguided,500,3500,0,,4.0,10,15.0,plain spotter,6,0,412.5,354.0,13.600000000000001,0.74,0.5
M224 60mm,M720A1 60mm HE,unguided,500,3500,0,,4.0,10,15.0,plain spotter,6,1,213.40560000000002,198.28608,13.600000000000001,0.74,0.5
M224 60mm,M720A1 60mm HE,unguided,500,3500,0,,4.0,10,15.0,SOFLAM rangefinder,6,0,163.33333333333331,200.66666666666666,7.555555555555555,0.532,0.35
M224 60mm,M720A1 60mm HE,unguided,500,3500,0,,4.0,10,15.0,SOFLAM rangefinder,6,1,51.01374814814815,78.19837629629629,7.555555555555555,0.532,0.35
M224 60mm,M720A1 60mm HE,unguided,500,3500,0,,4.0,10,15.0,scout/bomber drone spotter,6,0,283.125,224.625,5.375,0.584,0.5
M224 60mm,M720A1 60mm HE,unguided,500,3500,0,,4.0,10,15.0,scout/bomber drone spotter,6,1,127.250521875,115.426501875,5.375,0.584,0.5
M224 60mm,M720A1 60mm HE,unguided,500,3500,0,,4.0,10,15.0,full gucci: player sensors/RF/EPLRS + drone,6,0,81.19047619047619,36.38095238095238,3.5978835978835986,0.050000000000000044,0.105
M224 60mm,M720A1 60mm HE,unguided,500,3500,0,,4.0,10,15.0,full gucci: player sensors/RF/EPLRS + drone,6,1,9.378347820609726,4.756695641219451,3.5978835978835986,0.050000000000000044,0.105
M224 60mm,M720A1 60mm HE,unguided,500,3500,0,,4.0,10,15.0,plain spotter,8,0,352.5,294.0,10.8,0.6533333333333333,0.5
M224 60mm,M720A1 60mm HE,unguided,500,3500,0,,4.0,10,15.0,plain spotter,8,1,173.4324,159.96232,10.8,0.6533333333333333,0.5
M224 60mm,M720A1 60mm HE,unguided,500,3500,0,,4.0,10,15.0,SOFLAM rangefinder,8,0,146.66666666666669,167.33333333333334,6.0,0.376,0.35
M224 60mm,M720A1 60mm HE,unguided,500,3500,0,,4.0,10,15.0,SOFLAM rangefinder,8,1,40.09823333333334,62.83198666666667,6.0,0.376,0.35
M224 60mm,M720A1 60mm HE,unguided,500,3500,0,,4.0,10,15.0,scout/bomber drone spotter,8,0,245.625,187.125,3.6249999999999996,0.44533333333333325,0.5
M224 60mm,M720A1 60mm HE,unguided,500,3500,0,,4.0,10,15.0,scout/bomber drone spotter,8,1,102.76341562499998,93.68733562499999,3.6249999999999996,0.44533333333333325,0.5
M224 60mm,M720A1 60mm HE,unguided,500,3500,0,,4.0,10,15.0,full gucci: player sensors/RF/EPLRS + drone,8,0,78.80952380952381,31.61904761904762,2.857142857142857,0.050000000000000044,0.105
M224 60mm,M720A1 60mm HE,unguided,500,3500,0,,4.0,10,15.0,full gucci: player sensors/RF/EPLRS + drone,8,1,8.976700680272108,3.9534013605442175,2.857142857142857,0.050000000000000044,0.105
